Neighbourhood,Neighbourhood Id,Total Population,Visible Minority Category,   Not a Visible Minority,Total Area,   In Labour Force,Recent Immigrants,   Unemployed,   Not in Labour Force,Less than grade 9,With Bachelor Degree or Higher,With College Certificate/Diploma,Total by Tenure,Tenant Average Rent,Average Family Income,After-Tax Household Income,Pre-Tax Household Income,Part-Time Employment,Low Income Families,Lone Parent Families,Low Income Population,Early Development Instrument (EDI),Seniors Living Alone,Hospital Readmissions,Healthy Food Index,Rent Bank Applicants,Social Housing Units,Social Housing RGI,PFR Program Free Registrations,PFR Program Registrations,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms
Blake-Jones,69,7727,0.994564514,0.61149217,0.000116475,0.528018636,0.02717743,0.044648635,0.284715931,0.193477417,0.315128769,0.48660541,0.418661835,778,76633,51381,55411,0.043613304,0.128122169,0.05823735,0.264009318,17.97752809,0.018765368,1.06,39.98,5,0.097191666,0.087097192,0,0,0.001552996,0.007894396,0.001294163,0.002976576,0.001682412,0.000647082,0,0.000129416,0.000129416,0.013200466
South Riverdale,70,27876,0.97018941,0.567333907,0.000344382,0.593162577,0.028698522,0.038384273,0.236762807,0.155151385,0.337925097,0.512268618,0.385277658,859,83795,56192,65076,0.138649735,0.109771847,0.045558904,0.19514995,7.56302521,0.014349261,0.82,45.86,14,0.053056393,0.037846176,0.181518152,0.211436361,0.001578419,0.006780026,0.000896829,0.005201607,0.001112068,0.001004448,0.000717463,0.000107619,7.17463E-05,0.013775291
Cabbagetown-South St.James Town,71,11669,0.941811638,0.669723198,0.000119976,0.623446739,0.031279458,0.050132831,0.250664153,0.075413489,0.437483932,0.631587968,0.56817208,976,103558,50873,60268,0.085611449,0.119119033,0.031707944,0.161110635,13.33333333,0.022709744,2,43.71,16,0.073699546,0.066243894,0,0.107464221,0.00239952,0.008226926,0.000942669,0.004541949,0.001371154,0.000771274,0.000514183,0,0.000428486,0.02853715
Regent Park,72,10803,0.988151439,0.296676849,5.55401E-05,0.523928538,0.051837453,0.050448949,0.312413219,0.135610479,0.285568823,0.447560863,0.355919652,631,51758,30794,32172,0.059150236,0.218457836,0.065722484,0.47671943,10.84337349,0.012496529,0.91,42.52,6,0.196241785,0.17828381,0.370360085,0,0.001110803,0.007220217,0.000370268,0.002314172,0.001295936,0.000277701,0.000185134,0,9.25669E-05,0.021475516
Moss Park,73,20506,0.900224325,0.516678045,6.82727E-05,0.601043597,0.046084073,0.041207451,0.229201209,0.079245099,0.412806008,0.582268604,0.440358919,795,87222,37295,41295,0.199453818,0.1726324,0.033161026,0.24968302,19.17808219,0.014386033,1.9,42.76,5,0.165756364,0.142689944,0.128840339,0,0.008485321,0.01867746,0.001901882,0.006290842,0.005461816,0.000780259,0.000585195,0.000146299,0.000243831,0.043255632
North St.James Town,74,18615,0.986032769,0.326349718,2.1488E-05,0.582594682,0.135643298,0.060435133,0.280687618,0.103142627,0.338705345,0.549556809,0.494225087,879,49005,31304,32514,0.067848509,0.185334408,0.046736503,0.314799893,16.15384615,0.017459038,1.13,34.03,15,0.091539081,0.088799355,0.125221595,0,0.001504163,0.005640612,0.000644641,0.002793446,0.001020682,0.000859522,0.000483481,0,0.00010744,0.012463067
Church-Yonge Corridor,75,31340,0.966975112,0.570516911,4.46713E-05,0.697351627,0.062858966,0.059508615,0.231014678,0.048500319,0.540204212,0.71330568,0.581684748,1134,77996,41813,47195,0.35252074,0.123165284,0.022973835,0.16464582,11.32075472,0.015475431,0.93,33.5,14,0.10606254,0.072463306,0,0,0.004307594,0.014869177,0.002233567,0.004690491,0.003446075,0.000733886,0.001276324,9.57243E-05,0.000159541,0.035194639
Bay Street Corridor,76,25797,0.992557274,0.37504361,6.97756E-05,0.581462961,0.088188549,0.059503043,0.346939567,0.026941117,0.584951739,0.678567275,0.441718029,1467,90324,44614,50363,1.078381207,0.389580184,0.031786642,0.496957011,19.44444444,0.012986006,0.97,24.83,5,0.029228205,0.012133194,0,0,0.005116874,0.02244447,0.003411249,0.004574175,0.00387642,0.000969105,0.001589332,3.87642E-05,0.000116293,0.055355274
Waterfront Communities-The Island,77,65913,0.995554746,0.557022135,0.000115304,0.775264364,0.071761261,0.040052797,0.16514193,0.024729568,0.633183135,0.784974133,0.409479162,1417,95004,57670,69107,0.322758788,0.067968383,0.021391835,0.106048883,17.81609195,0.007358184,0.96,31.61,21,0.040113483,0.020906346,0.005704489,0.045590399,0.002124012,0.010802118,0.001031663,0.003231532,0.000955805,0.000606861,0.000849605,0,7.58576E-05,0.021573893
Kensington-Chinatown,78,17945,0.972694344,0.386737253,8.35887E-05,0.563109501,0.046809696,0.045973809,0.336862636,0.189746447,0.356366676,0.506826414,0.481192533,1004,64945,37571,40793,0.455057119,0.205628309,0.047924213,0.338255782,25.92592593,0.018668153,1.14,37.57,4,0.115018111,0.091557537,0.098746169,0,0.005851212,0.015213151,0.001894678,0.004458066,0.002953469,0.001448872,0.000891613,0.000278629,0.000278629,0.025578155
